ID,名称,描述,生长期,收获季数,seed价格,果实价格,理论数量,浮动,吸引,等级,经验
ID,name,desc,growns,harvestCount,seedValue,fruitValue,number,variance,absorb,level,exp
101,白萝卜,非常常见的蔬菜，略带辛辣味,"2 4 7 10",1,125,17,16,2,pest,0,15
102,红萝卜,营养丰富，大自然的宝石,"2 5 8 13",1,163,21,17,2,pest,0,18 
103,玉米,分布最广粮食作物,"2 4 7 10 14",1,391,23,17,2,pest,3,19
104,土豆,含有大量淀粉和蛋白质,"2 4 7 11 15",1,188,24,18,2,pest,4,20 
105,茄子,拍照的最佳拍档,"2 5 8 12 16",1,237,25,20,2,pest,5,21 
106,番茄,含有丰富的胡萝卜素,"2 5 9 13 17",1,251,26,21,2,pest,6,22
107,豌豆,富含人体需要的各种营养物质,"3 6 9 13 18",1,266,27,22,2,pest,7,23
108,辣椒,味道爽口刺激,"3 7 11 15 20",1,296,28,24,2,pest,8,25
109,南瓜,含有多种营养成分，味道香甜,"3 7 12 17 22",1,325,30,25,2,pest,9,27
110,草莓,果肉多多，酸甜可口,"4 8 13 18 24",2,605,27,24,2,pest,10,20
111,西瓜,全身是宝，果皮还能使用,"4 9 15 21 28",2,708,29,27,2,pest,11,23
112,香蕉,快乐水果，减肥果实,"5 11 17 24 31 38",2,900,32,29,2,pest,12,25
113,桃子,味道甜美，营养丰富,"8 16 24 33 42",2,1200,40,32,2,pest,13,33
114,菠萝,香甜可口，但存在副作用,"12 25 38 51 64 77",3,3480,62,35,2,pest,18,40
115,樱桃,可用作酿酒，可以抗贫血,"14 28 42 57 72 87",4,5527,78,33,2,pest,22,42
